;;;;;;;;;;;;;;;;;;;;;top1;bottom1;strato1;top2;bottom2;strato2;top3;bottom3;strato3;top4;bottom4;strato4;top5;bottom5;strato5;top6;bottom6;strato6;top7;bottom7;strato7;;;;;;
15.96435;38.566711;175572;Calabria;VIBO VALENTIA;LIMBADI;218;1994;6.66;6.66;2;24;2;160;58;ND;ND;ND;ND;100;195;0;7;TERRENO VEGETALE;7;40;CALCARE;40;100;ARGILLA;100;218;GRANITO;;;;;;;;;;;;;;;
16.011183;38.376508;16706;Calabria;REGGIO DI CALABRIA;TAURIANOVA;70;ND;ND;ND;1;35;35;ND;ND;ND;ND;ND;ND;ND;ND;0;2;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI ORIGINE FLUVIALE;2;70;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI COLORE ROSSASTRO DI ORIGINE ALLUVIONALE AD ELEVATA PERMEABILITA;;;;;;;;;;;;;;;;;;;;;
15.975469;38.359481;177164;Calabria;REGGIO DI CALABRIA;TAURIANOVA;55;ND;120;90;1;30;0;ND;ND;ND;ND;ND;ND;ND;ND;0;6;ARGILLA DEBOLMENTE SABBIOSA DI COLORE MARRONE,IN PARTE COINCIDENTE CON LA COLTRE DI TERRENO VEGETALE;6;15;SABBIA RGILLOSA CON INTERCALAZIONI DI GHIAIA;15;55;SABBIA DEBOLMENTE GHIAIOSA;;;;;;;;;;;;;;;;;;
16.092961;38.58255;176350;Calabria;REGGIO DI CALABRIA;CITTANOVA;90;1995;6;4;1;0;90;ND;ND;ND;ND;ND;ND;20;32;0;1.5;HUMUS E TERRENO VEGETALE;1.5;7;TERRENO INERTE;7;25;SABBIA E PIETRISCO;25;60;ROCCIA VIVA;60;90;ARGILLA COMPATTA E SUCCESSIVA FALDA ACQUIFERA;;;;;;;;;;;;
16.041019;38.432831;176341;Calabria;REGGIO DI CALABRIA;CITTANOVA;100;1997;5;4;2;0;40;41;59;ND;ND;ND;ND;20;32;0;1.5;TERRENO VEGETALE;1.5;7.5;PIETRA E CIOTTOLAME;7.5;22;ROCCIA VIVA;22;57;SABBIA FINE;57;100;ARGILLA COMPATTA;;;;;;;;;;;;
15.963239;38.484761;176972;Calabria;REGGIO DI CALABRIA;ROSARNO;35;1988;20;20;1;15;20;ND;ND;ND;ND;ND;ND;9;9;0;10;MATERIALE ALLUVIONALE;10;15;ARGILLA;15;35;PIETRISCO CON CONGLOMERATI DI SABBIA;;;;;;;;;;;;;;;;;;
16.061019;38.405881;176577;Calabria;REGGIO DI CALABRIA;POLISTENA;100;1990;7;6;2;0;45;45;55;ND;ND;ND;ND;20;45;0;2;TERRENO UMIFERO;2;25;SABBIA E GHIAIA;25;60;SABBIA FINA E LIMO;60;80;ARGILLA COMPATTA;80;100;ARGILLA E FALDA ACQUIFERA;;;;;;;;;;;;
15.970139;38.568056;16766;Calabria;VIBO VALENTIA;LIMBADI;270;ND;6.37;5;1;190;80;ND;ND;ND;ND;190;270;50.45;52;0;4;sabbia limosa;4;190;SABBIE ARGILLOSE;190;264;SABBIE A GRANULOMETRIA MEDIO-GROSSA;264;270;ROCCE GRANITICHE;;;;;;;;;;;;;;;
15.934361;38.41865;176429;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;115;1993;8;480;1;70;45;ND;ND;ND;ND;ND;ND;35;40;0;2;TERRENO VEGETALE;2;15;SABBIA;15;55;ARGILLA;55;70;GHIAIA;70;115;SABBIA E GHIAIA;;;;;;;;;;;;
15.982828;38.398228;16714;Calabria;REGGIO DI CALABRIA;TAURIANOVA;53;ND;12;8;0;ND;ND;ND;ND;ND;ND;ND;ND;32;37.5;0;1.8;TERRENO PEDOGENETICO SUPERFICIALE DI COPERTURA.;1.8;53;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI COLORE ROSSASTRO ED ORIGINE ALLUVIONALE. PRESENTANO PERMEABILITA ELEVATA.;;;;;;;;;;;;;;;;;;;;;
16.2038;38.508381;153930;Calabria;VIBO VALENTIA;DINAMI;40;2003;1;0.8;1;12;28;ND;ND;ND;ND;16;40;13;25;0;10;ALTERAZIONE DEL GRANITO;10;40;GRANITO FRATTURATO CON INTRUSIONI QUARZOSE;;;;;;;;;;;;;;;;;;;;;
15.982681;38.52615;175565;Calabria;VIBO VALENTIA;LIMBADI;165;2001;5;3;1;150;15;ND;ND;ND;ND;150;165;50;80;0;50;STRATO AGRARIO PIU SABBIA;50;150;ARGILLA;150;165;ARENARIA;;;;;;;;;;;;;;;;;;
15.929911;38.410319;176437;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;110;1992;15;90;1;80;30;ND;ND;ND;ND;ND;ND;60;60;0;2;TERRENO VEGETALE;2;80;SABBIA;80;110;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.99685;38.450881;176961;Calabria;REGGIO DI CALABRIA;ROSARNO;60;1989;15;15;1;45;15;ND;ND;ND;ND;ND;ND;40;45;0;3;TERRENO VEGETALE;3;45;SABBIONE;45;60;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.036289;38.58755;175833;Calabria;VIBO VALENTIA;SAN CALOGERO;145;1996;2;1.5;1;135;5;ND;ND;ND;ND;121;145;90;125;0;5;HUMUS;5;25;SABBIA;25;120;SABBIA E GHIAIA;120;145;ROCCIA FRATTURATA;;;;;;;;;;;;;;;
16.067411;38.402819;176551;Calabria;REGGIO DI CALABRIA;POLISTENA;70;1993;5;300;2;16;5;45;20;ND;ND;ND;ND;10;12;0;3;TERRENO VEGETALE;3;11;PIETRA DI FIUME;11;16;ARGILLA GIALLA SABBIOSA;16;21;SABBIA GIALLA CON ACQUA;21;45;ARGILLA BIANCA;45;65;STRATI DI ARENARIA CON ACQUA;65;70;ARGILLA BLU;;;;;;
15.974911;38.445319;176565;Calabria;REGGIO DI CALABRIA;RIZZICONI;60;1988;15;15;2;40;5;55;5;ND;ND;50;52;45;45;0;5;TERRENO VEGETALE;5;60;GHIAIA E SABBIA;;;;;;;;;;;;;;;;;;;;;
15.974911;38.5481;175622;Calabria;VIBO VALENTIA;LIMBADI;85;1992;2.5;2.5;1;70;5;ND;ND;ND;ND;ND;ND;70;75;0;20;TERRENO VEGETALE;20;45;ROCCIA CALCAREA;45;65;ARGILLA;65;70;SABBIA MEDIA;70;85;GHIAIA;;;;;;;;;;;;
16.013519;38.417819;177043;Calabria;REGGIO DI CALABRIA;RIZZICONI;56;1995;5;ND;2;35;0;45;11;ND;ND;ND;ND;30;44;0;3;TERRENO VEGETALE;3;20;MATERIALE ARGILLOSO;20;56;PIETRISCO E SABBIA;;;;;;;;;;;;;;;;;;
16.083519;38.421989;176269;Calabria;REGGIO DI CALABRIA;CINQUEFRONDI;107;1990;6;5;2;0;35;36;71;ND;ND;ND;ND;20;40;0;3;TERRENO VEGETALE;3;12;SABBIONE E GHIAIA;12;45;SABBIA FINA E LIMO;45;70;ARGILLA E SABBIA;70;107;ARGILLA E ACQUA;;;;;;;;;;;;
16.057961;38.558931;175760;Calabria;VIBO VALENTIA;MILETO;152;1987;5;ND;2;30;5;125;27;ND;ND;132;152;65;90;0;5;TERRENO VEGETALE;5;35;SABBIA E GHIAIA;35;125;ARGILLA SILTOSA;125;152;SABBIA GROSSOLANA;;;;;;;;;;;;;;;
16.02685;38.541161;175856;Calabria;VIBO VALENTIA;SAN CALOGERO;177;1990;3;1.5;1;130;47;ND;ND;ND;ND;137;177;90;130;0;6;HUMUS;6;100;ARGILLA;100;177;SABBIE;;;;;;;;;;;;;;;;;;
15.991289;38.601989;175823;Calabria;VIBO VALENTIA;ROMBIOLO;80;1994;3.5;3;1;55;5;ND;ND;ND;ND;ND;ND;25;55;0;3;TERRENO AGRARIO;3;16;CONGLOMERATI IN DISFACIMENTO;16;55;GRANITO IN DISFACIMENTO;55;70;GRANITO COMPATTO;70;80;SABBIA GROSSOLANA;;;;;;;;;;;;
16.071717;38.351469;16552;Calabria;REGGIO DI CALABRIA;CITTANOVA;220;2002;4;2.5;2;22;8;140;60;ND;ND;144;180;120;128;0;54;TERRENO VEGETALE  CONGLOMERATI SABBIOSI E SABBIE GROSSOLANE;54;78;SABBIE E SILT ED ARGILLE SILTOSE ALTERATE RITROVATE IN ALTERNANZA;78;220;COMPLESSO DI ROCCE ACIDE COMPOSTE DA GRANITO E QUARZO - MONZONITE FRATTURATO;;;;;;;;;;;;;;;;;;
16.168519;38.517269;175499;Calabria;VIBO VALENTIA;DINAMI;98;1990;2;1.5;1;60;35;ND;ND;ND;ND;60;98;25;55;0;2.5;HUMUS;2.5;15;DEPOSITI CONTINENTALI ROSSASTRI;15;98;COMPLESSO DI ROCCE ACIDE BIOTITICHE [FRA LA QUARZO MONZONITE ED IL GRANITO];;;;;;;;;;;;;;;;;;
15.988519;38.442261;176881;Calabria;REGGIO DI CALABRIA;RIZZICONI;70;1991;15;900;1;55;15;ND;ND;ND;ND;ND;ND;45;45;0;3;TERRENO VEGETALE;3;55;SABBIONE;55;70;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.921011;38.569211;175792;Calabria;VIBO VALENTIA;NICOTERA;40;1992;3.333;1.5;2;20;0.5;30;2;ND;ND;ND;ND;25;32;0;3;TERRENO VEGETALE;3;10;SABBIA;10;40;ROCCIA IN DISFACIMENTO;;;;;;;;;;;;;;;;;;
16.003528;38.380725;16719;Calabria;REGGIO DI CALABRIA;TAURIANOVA;48;ND;ND;1.5;0;ND;ND;ND;ND;ND;ND;35;48;30;31.3;0;6;ARGILLA DEBOLMENTE SABBIOSA DI COLORE MARRONE, IN PARTE COINCIDENTE CON LA COLTRE DI TERRENO VEGETALE.;6;15;SABBIA ARGILLOSA CON INTERCALAZIONI DI GHIAIA.;15;48;SABBIA DEBOLMENTE GHIAIOSA.;;;;;;;;;;;;;;;;;;
16.0163;38.3481;177179;Calabria;REGGIO DI CALABRIA;TAURIANOVA;110;1993;3.33;1;1;75;35;ND;ND;ND;ND;75;110;74;75;0;1;TERRENO VEGETALE;1;70;CONGLOMERATI SABBIOSI E SABBIE GROSSOLANE, ELEVATA PERMEABILITA;70;110;SABBIE CON SILTS ED ARGILLE SILTOSE. ELEVATA PERMEABILITA;;;;;;;;;;;;;;;;;;
16.022411;38.444769;176949;Calabria;REGGIO DI CALABRIA;ROSARNO;85;1988;12.5;720;2;40;5;64;21;ND;ND;ND;ND;15;46;0;45;SABBIONE;45;64;ARGILLA;64;85;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.9713;38.436989;176907;Calabria;REGGIO DI CALABRIA;RIZZICONI;50;1992;15;900;1;38;12;ND;ND;ND;ND;ND;ND;35;35;0;2;TERRENO VEGETALE;2;38;SABBIONE;38;50;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.04435;38.578661;175755;Calabria;VIBO VALENTIA;MILETO;105;1993;10;10;2;50;1;72;1;ND;ND;ND;ND;40;55;0;3;TERRENO VEGETALE;3;50;ARGILLA;50;60;MISTO SABBIA;60;72;ARGILLA E ARENARIE;72;85;SABBIA;85;95;ARENARIE;95;105;ARGILLA;;;;;;
15.9588;38.400881;176981;Calabria;REGGIO DI CALABRIA;RIZZICONI;100;1992;20;20;1;80;20;ND;ND;ND;ND;ND;ND;2;2;0;2;VEGETALE;2;80;SABBIOSO;80;100;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.035469;38.460331;176371;Calabria;REGGIO DI CALABRIA;MELICUCCO;90;1992;6;5;2;0;40;50;40;ND;ND;ND;ND;18;29;0;2;TERRENO UMIFERO;2;25;ARGILLA COMPATTA;25;60;DESCRIZIONE LITOLOGICA MANCANTE;60;90;ARGILLA LIMOSA E FALDA ACQUIFERA;;;;;;;;;;;;;;;
15.962119;38.580319;175611;Calabria;VIBO VALENTIA;LIMBADI;176;1998;2;1.5;1;150;20;ND;ND;ND;ND;150;170;30;70;0;6;SUOLO AGRARIO;6;90;CALCARE;90;176;GRANITO A CONSISTENZA FRIABILE ;;;;;;;;;;;;;;;;;;
15.951519;38.545256;16773;Calabria;VIBO VALENTIA;NICOTERA;70;ND;ND;2;1;54;0;ND;ND;ND;ND;52;70;ND;ND;0;4;TERRENO VEGETALE;4;70;GRANITO FESSURATO;;;;;;;;;;;;;;;;;;;;;
16.012969;38.448931;177025;Calabria;REGGIO DI CALABRIA;ROSARNO;130;1990;20;1200;1;120;10;ND;ND;ND;ND;ND;ND;10;20;0;3;TERRENO VEGETALE;3;50;TERRENO SABBIOSO;50;75;ARGILLA;75;130;SABBIA E GHIAIA;;;;;;;;;;;;;;;
15.986861;38.390319;177076;Calabria;REGGIO DI CALABRIA;TAURIANOVA;74;1992;8;ND;1;45;29;ND;ND;ND;ND;ND;ND;38;48;0;2;TERRENO VEGETALE;2;22;ARGILLA;22;40;ARGILLA LIMO SABBIA;40;74;PIETRISCO E SABBIA;;;;;;;;;;;;;;;
16.070189;38.448381;176189;Calabria;REGGIO DI CALABRIA;ANOIA;148;1992;11;9.167;1;100;45;ND;ND;ND;ND;ND;ND;80;85;0;10;TERRENO VEGETALE;10;35;SABBIA;35;100;ARGILLA;100;145;GHIAIA CON ACQUA;145;148;ARGILLA;;;;;;;;;;;;
15.91685;38.42365;176526;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;65;1992;15;900;1;30;35;ND;ND;ND;ND;ND;ND;30;30;0;2;TERRENO VEGETALE;2;30;SABBIONE;30;65;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.937689;38.486711;176999;Calabria;REGGIO DI CALABRIA;SAN FERDINANDO;25;1993;5.5;5;1;20;5;ND;ND;ND;ND;3;18;20;23;0;10;SABBIE A GRANULOMETRIA MEDIO-FINE, LOCALMENTE GHIAIOSE. PRESENZA DI MATERIALE ORGANICO E TORBOSO E MATERIALE DI RIPORTO;10;25;SABBIE QUARZOSE A GRANULOMETRIA MEDIA;;;;;;;;;;;;;;;;;;;;;
16.027969;38.356431;177106;Calabria;REGGIO DI CALABRIA;TAURIANOVA;120;1990;15;900;2;70;5;100;20;ND;ND;ND;ND;59;60;0;2;TERRENO VEGETALE;2;70;GHIAIA;70;75;SABBIA E GHIAIA;75;100;TUFO;100;120;SABBIA CON FALDA;;;;;;;;;;;;
16.071861;38.394769;176780;Calabria;REGGIO DI CALABRIA;POLISTENA;102;1992;4;4;1;83;19;ND;ND;ND;ND;82;102;ND;ND;0;22;SABBIA E GHIAIA ROSSASTRA;22;50;SABBIA QUARZOSA MONOGRANULARE;50;82;ARGILLA GRIGIA CON INTERCALAZIONI SABBIOSE E SABBIOSO SILTOSE;82;102;ROCCIA INTRUSIVA;;;;;;;;;;;;;;;
16.016289;38.553939;176003;Calabria;VIBO VALENTIA;SAN CALOGERO;35;1998;2;1.7;1;23;12;ND;ND;ND;ND;23;35;12;15;0;0.9;TERRENO AGRARIO;0.9;18;CONGLOMERATI SABBIOSI ROSSASTRI;18;35;ARGILLE SILTOSE CON INTERCALAZIONI SABBIOSE;;;;;;;;;;;;;;;;;;
16.014911;38.5606;175937;Calabria;VIBO VALENTIA;SAN CALOGERO;170;1995;10;8;3;0;110;110;20;130;20;110;170;90;110;0;10;TERRENO VEGETALE;10;60;LIVELLO ILLEGIBILE;60;110;GRANITO COMPATTO;110;170;GRANITO IN DISFACIMENTO;;;;;;;;;;;;;;;
15.979081;38.438931;176829;Calabria;REGGIO DI CALABRIA;RIZZICONI;55;ND;ND;ND;1;15;0;ND;ND;ND;ND;ND;ND;ND;ND;0;3;SABBIA;3;6;SABBIA E GHIAIA;6;12;SILT ARGILLOSO;12;55;SABBIA GHIAIOSA E CIOTTOLI;;;;;;;;;;;;;;;
15.942689;38.414489;176431;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;100;1993;100;480;1;90;10;ND;ND;ND;ND;ND;ND;50;55;0;2;TERRENO VEGETALE;2;57;SABBIA;57;90;SABBIA TUFACEA;90;100;SABBIA E GHIAIA;;;;;;;;;;;;;;;
16.02185;38.557539;175947;Calabria;VIBO VALENTIA;SAN CALOGERO;155;1992;2;1.8;1;135;15;ND;ND;ND;ND;131;155;75;126;0;4;HUMUS;4;125;ROCCIA IN DISFACIMENTO;125;155;GRANITO;;;;;;;;;;;;;;;;;;
16.012139;38.362819;177061;Calabria;REGGIO DI CALABRIA;TAURIANOVA;80;1990;10;600;3;40;0;50;10;60;20;60;80;65;75;0;20;TERRENO AGRARIO MEDIO IMPASTO A SFONDO UMIFERO;20;40;TERRENO RUFACEO-ARGILLOSO CON PRIMA FALDA FREATICA;40;60;TERRENO SABBIOSO CON SECONDA FALDA ACQUIFERA;60;80;TERRENO GHIAIOSO CON TERZA FALDA LIBERA;;;;;;;;;;;;;;;
16.01075;38.412819;176962;Calabria;REGGIO DI CALABRIA;RIZZICONI;50;1987;10;6;1;1;49;ND;ND;ND;ND;38;50;42;46;0;10;TERRENO AGRARIO DI MEDIO IMPORTO;10;25;TERRENO SABBIOSO;25;38;TERRENO ARGILLOSO;38;50;TERRENO GHIAIOSO;;;;;;;;;;;;;;;
15.999081;38.391711;177113;Calabria;REGGIO DI CALABRIA;TAURIANOVA;60;1991;15;15;1;40;20;ND;ND;ND;ND;ND;ND;30;31;0;3;VEGETALE;3;40;SABBIA;40;60;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.012125;38.386544;16709;Calabria;REGGIO DI CALABRIA;TAURIANOVA;70;1988;21.5;19;1;50;0;ND;ND;ND;ND;ND;ND;60;60.4;0;1;TERRENO VEGETALE;1;7;SABBIA E ARGILLA;7;18;GHIAIA;18;70;ARGILLA;;;;;;;;;;;;;;;
15.980189;38.369211;177165;Calabria;REGGIO DI CALABRIA;TAURIANOVA;60;1989;15;15;1;40;20;ND;ND;ND;ND;ND;ND;40;42;0;3;TERRENO VEGETALE;3;40;SABBIONE;40;60;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.049911;38.4181;176541;Calabria;REGGIO DI CALABRIA;POLISTENA;70;1992;4;3;1;0;70;ND;ND;ND;ND;ND;ND;1;10;0;8;TERRENO UMIFERO;8;16;SABBIA E PIETRISCO;16;35;ARGILLA CALCAREA;35;70;ARENARIA E FALDA ACQUIFERA;;;;;;;;;;;;;;;
16.052131;38.396989;176342;Calabria;REGGIO DI CALABRIA;CITTANOVA;150;1994;10;10;1;100;50;ND;ND;ND;ND;ND;ND;60;65;0;2;VEGETALE;2;23;GHIAIA;23;68;SABBIA;68;100;ARGILLA;100;150;SABBIA E GHIAIA;;;;;;;;;;;;
15.990739;38.579769;175659;Calabria;VIBO VALENTIA;LIMBADI;118;1992;6;5;1;95;10;ND;ND;ND;ND;ND;ND;80;85;0;6;TERRENI VEGETALE;6;60;CALCARE;60;90;GRANITO COMPATTO;90;118;ARENARIA E SABBIA;;;;;;;;;;;;;;;
16.034264;38.458297;16579;Calabria;REGGIO DI CALABRIA;MELICUCCO;140;ND;ND;ND;1;90;0;ND;ND;ND;ND;90;140;35;60;0;35;CONGLOMERATO;35;90;ARGILLA;90;140;ARENARIA;;;;;;;;;;;;;;;;;;
15.917969;38.42365;176461;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;70;1989;20;1200;1;50;20;ND;ND;ND;ND;ND;ND;25;25;0;3;TERRENO VEGETALE;3;50;SABBIONE;50;70;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.993239;38.45255;177022;Calabria;REGGIO DI CALABRIA;ROSARNO;68;1990;12.69;420;1;40;25;ND;ND;ND;ND;ND;ND;54;55.35;0;7.5;TERRENO ARGILLOSO;7.5;18;TERRENO ARGILLOSO SABBIOSO;18;68;TERRENO GHIAIOSO;;;;;;;;;;;;;;;;;;
16.053058;38.513769;16544;Calabria;REGGIO DI CALABRIA;CANDIDONI;50;ND;ND;23.3;1;8;0;ND;ND;ND;ND;ND;ND;7;7.8;0;1.6;STRATO DI ALTERAZIONE SUPERFICIALE;1.6;50;SABBIA E GHIAIA CON SOTTILI INTERCALAZIONI SILTOSO-ARGILLOSE;;;;;;;;;;;;;;;;;;;;;
15.96935;38.5656;175633;Calabria;VIBO VALENTIA;LIMBADI;270;1996;7;6;1;240;10;ND;ND;ND;ND;240;270;80;100;0;25;TERRENO VEGETALE;25;45;CALCARE;45;130;TUFO - LIMOSO;130;240;ARGILLA;240;270;ROCCIA IN DISFACIMENTO;;;;;;;;;;;;
16.050469;38.470881;176376;Calabria;REGGIO DI CALABRIA;FEROLETO DELLA CHIESA;200;1989;6;5;2;0;90;91;109;ND;ND;ND;ND;52;100;0;2;HUMUS E TERRENO VEGETALE;2;35;SABBIA COMUNE;35;93;ARGILLA BIANCA COMUNE;93;200;ARGILLA COOLINO COMPATTA;;;;;;;;;;;;;;;
16.048519;38.481439;176355;Calabria;REGGIO DI CALABRIA;LAUREANA DI BORRELLO;211;1991;12;10.333;1;170;36;ND;ND;ND;ND;ND;ND;40;44;0;2;TERRENO VEGETALE;2;18;SABBIA;18;170;ARGILLA;170;206;PIETRE CON ACQUA;206;211;ARGILLA;;;;;;;;;;;;
16.050803;38.407447;16594;Calabria;REGGIO DI CALABRIA;POLISTENA;82;ND;15;10;0;ND;ND;ND;ND;ND;ND;ND;ND;36;ND;0;7;DEPOSITI CONTINENTALI CONGLOMERATICI, SABBIOSI E LIMOSI DI ORIGINE ALLUVIONALE E FLUVIALE. PRESENTANO PERMEABILITA ELEVATA.;7;82;DEPOSITI SABBIOSI E SABBIOSO SILTOSI, DI COLORE BRUNO CHIARO, DI CHIARA ORIGINE MARINA. LE PARTICELLE SONO A GRANA DA FINE A GROSSOLANA, QUESTO COMPLESSO PRESENTA PERMEABILITA ELEVATA.;;;;;;;;;;;;;;;;;;;;;
15.991289;38.528381;175969;Calabria;VIBO VALENTIA;SAN CALOGERO;80;1992;10;10;1;60;10;ND;ND;ND;ND;60;80;62;68;0;15;ALLUVIONI STABILIZZATE;15;71;SABBIE MINACCE A GRANULOMETRIA VARIABILE DA MEDIA A GROSSOLANA;71;80;ARGILLE GRIGIE;;;;;;;;;;;;;;;;;;
16.082969;38.413939;176261;Calabria;REGGIO DI CALABRIA;CINQUEFRONDI;118;1990;3;3;2;0;60;61;57;ND;ND;ND;ND;30;50;0;2;HUMUS E TERRENI VEGETALI;2;48;SABBIA ROSSA E ARGILLA;48;68;SABBIA COMUNE BIANCA;68;101;SABBIA FINA;101;118;ARGILLA MOLTO COMPATTA;;;;;;;;;;;;
16.026581;38.419769;176331;Calabria;REGGIO DI CALABRIA;CITTANOVA;52;1988;20;15;3;10;2;19;6;45;7;ND;ND;10;25;0;15;TUFO GRIGIO;15;35;GHIAIA E SABBIA;35;52;SABBIONE;;;;;;;;;;;;;;;;;;
16.044911;38.4181;176659;Calabria;REGGIO DI CALABRIA;POLISTENA;102;1990;8;7;2;0;40;41;61;ND;ND;ND;ND;15;25;0;1;HUMUS E TERRENO VEGETALE;1;7;CIOTTOLAME E GHIAIA;7;20;PIETRAME DI SATURA VARIO;20;102;ARGILLA COMPATTA;102;102;FALDA ACQUIFERA;;;;;;;;;;;;
16.059639;38.424489;176603;Calabria;REGGIO DI CALABRIA;POLISTENA;86;1992;5;4;1;0;86;ND;ND;ND;ND;ND;ND;25;40;0;2;TERRENO UMIFERO;2;20;ARGILLA E SABBIA;20;50;PIETRISCO E SABBIA;50;70;ARGILLA COMPATTA;70;86;ARGILLA SABBIOSA E FALDA ACQUIFERA;;;;;;;;;;;;
16.00825;38.418381;176857;Calabria;REGGIO DI CALABRIA;RIZZICONI;56;1992;8;ND;3;15;1;24;5;32;24;ND;ND;16;40;0;1.6;TERRENO VEGETALE;1.6;15;ARGILLA;15;56;PIETRISCO E SABBIA;;;;;;;;;;;;;;;;;;
15.975461;38.467539;176956;Calabria;REGGIO DI CALABRIA;ROSARNO;55;1989;15;900;1;26;29;ND;ND;ND;ND;ND;ND;26;32;0;13;TERRENO VEGETALE;13;22;ARGILLA;22;55;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
16.101417;38.529225;16698;Calabria;REGGIO DI CALABRIA;SERRATA;40;ND;ND;11.7;1;7.9;0;ND;ND;ND;ND;ND;ND;7;7.3;0;1;STRATO DI ALTERAZIONE SUPERFICIALE;1;40;SABBIA E GHIAIA CON SOTTILI INTERCALAZIONI SILTOSO-ARGILLOSE;;;;;;;;;;;;;;;;;;;;;
15.957961;38.57865;175680;Calabria;VIBO VALENTIA;LIMBADI;116;1991;3.5;2.5;1;98;14;ND;ND;ND;ND;98;116;80;105;0;4;TERRENO AGRARIO;4;70;ARGILLA;70;116;GRANITO IN DISFACIMENTO;;;;;;;;;;;;;;;;;;
16.047131;38.446161;176186;Calabria;REGGIO DI CALABRIA;ANOIA;90;1990;0.117;0.1;3;0;17;18;27;46;44;ND;ND;10;30;0;1;TERRENO VEGETALE;1;10;MISTO DI GHIAIA E CIOTTOLAME;10;90;ARGILLA CRETONATA COMPATTA;;;;;;;;;;;;;;;;;;
16.046019;38.508381;176953;Calabria;REGGIO DI CALABRIA;ROSARNO;35;2005;8;6;1;5.5;29.5;ND;ND;ND;ND;6;30;7;27;0;35;DEPOSITO GHIAIOSO SABBIOSO CON INTERCALAZIONI LIMOSE;;;;;;;;;;;;;;;;;;;;;;;;
16.006019;38.378931;177082;Calabria;REGGIO DI CALABRIA;TAURIANOVA;70;1993;10;6;1;60;10;ND;ND;ND;ND;50;70;55;63;0;10;STRATO UMIFERO TENDENTE AL SILICEO;10;20;TERRENO ARGILLOSO;20;50;TERRENO LIMOSO;50;70;TERRENO MISTO DI SABBIA E BRECCIO;;;;;;;;;;;;;;;
16.023239;38.448939;177031;Calabria;REGGIO DI CALABRIA;ROSARNO;95;1991;17;17;1;55;40;ND;ND;ND;ND;ND;ND;28;35;0;22;GHIAIA;22;55;ARGILLA;55;95;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
